Symbol,Stock Price,Normalized Breakeven Difference,Escape Ratio,Variability Ratio,Cost of Strangle,Contract Pairs Tried,Call Expiration,Call Strike,Call Premium,Put Expiration,Put Strike,Put Premium,Upper Breakeven,Lower Breakeven,Breakeven Difference
SHY,$82.52,0.021,0.010,0.190,$135.00,812,2024-11-15,$82.00,$0.72,2024-11-15,$83.00,$0.62,$83.372,$81.628,$1.743
IEF,$95.83,0.023,0.010,0.495,$110.00,"12,324",2024-11-01,$96.00,$0.46,2024-11-01,$96.00,$0.64,$97.122,$94.878,$2.243
IEI,$117.79,0.025,0.011,0.315,$145.00,"2,048",2024-11-15,$118.00,$0.70,2024-11-15,$118.00,$0.75,$119.472,$116.528,$2.943
BOND,$93.36,0.030,0.011,0.271,$137.50,70,2024-11-15,$93.00,$0.65,2024-11-15,$93.00,$0.73,$94.397,$91.603,$2.793
BND,$74.16,0.030,0.013,0.279,$110.00,160,2024-11-15,$74.00,$0.50,2024-11-15,$74.00,$0.60,$75.122,$72.878,$2.243
VTIP,$48.90,0.030,0.013,0.133,$72.50,51,2024-12-20,$49.00,$0.53,2024-11-15,$49.00,$0.20,$49.747,$48.253,$1.493
VCSH,$78.78,0.030,0.012,0.133,$167.50,48,2024-12-20,$78.00,$1.07,2025-02-21,$79.00,$0.60,$79.697,$77.303,$2.393
USIG,$51.78,0.031,0.011,0.245,$77.50,6,2024-11-15,$52.00,$0.25,2024-11-15,$52.00,$0.53,$52.797,$51.203,$1.593
IGIB,$52.96,0.031,0.015,0.230,$80.00,140,2024-11-15,$53.00,$0.38,2024-11-15,$53.00,$0.42,$53.822,$52.178,$1.643
VTC,$78.03,0.032,0.016,0.247,$122.50,70,2024-11-15,$78.00,$0.60,2024-11-15,$78.00,$0.62,$79.247,$76.753,$2.493
VGIT,$59.38,0.033,0.014,0.269,$45.00,72,2024-11-15,$60.00,$0.20,2024-11-15,$59.00,$0.25,$60.472,$58.528,$1.943
MBB,$94.06,0.035,0.017,0.263,$160.00,"1,512",2024-11-15,$94.00,$0.85,2024-11-15,$94.00,$0.75,$95.622,$92.378,$3.243
IUSB,$46.33,0.035,0.010,0.237,$77.50,136,2024-11-15,$46.00,$0.57,2024-11-15,$46.00,$0.20,$46.797,$45.203,$1.593
VMBS,$46.39,0.039,0.011,0.213,$87.50,270,2024-11-15,$46.00,$0.62,2024-11-15,$46.00,$0.25,$46.897,$45.103,$1.793
VCIT,$82.53,0.039,0.019,0.188,$210.00,110,2024-11-15,$82.00,$0.97,2024-12-20,$83.00,$1.12,$84.122,$80.878,$3.243
JNJ,$164.47,0.043,0.018,0.254,$354.00,"15,476",2024-11-01,$165.00,$1.67,2024-11-01,$165.00,$1.87,$168.562,$161.438,$7.123
PEP,$174.67,0.046,0.014,0.325,$531.50,"11,440",2024-11-01,$175.00,$2.12,2024-11-01,$177.50,$3.20,$180.337,$172.163,$8.173
TLT,$93.80,0.047,0.021,0.458,$219.50,"174,250",2024-11-01,$94.00,$0.95,2024-11-01,$94.00,$1.25,$96.217,$91.783,$4.433
BRK.B,$465.69,0.048,0.020,0.173,$862.50,"76,426",2024-11-01,$470.00,$3.95,2024-11-01,$465.00,$4.67,$478.647,$456.353,$22.293
MDT,$89.79,0.051,0.023,0.181,$226.00,"8,160",2024-11-01,$90.00,$1.19,2024-11-01,$90.00,$1.07,$92.282,$87.718,$4.563
ACN,$372.26,0.053,0.013,0.607,$995.00,"23,075",2024-11-01,$377.50,$4.35,2024-11-01,$377.50,$5.60,$387.472,$367.528,$19.943
IBB,$145.69,0.054,0.018,0.227,$395.00,"62,266",2024-11-01,$147.00,$1.48,2024-11-01,$147.00,$2.48,$150.972,$143.028,$7.943
SO,$92.70,0.054,0.019,0.222,$202.50,"16,512",2024-11-01,$94.00,$0.75,2024-11-01,$93.00,$1.27,$96.047,$90.953,$5.093
HRL,$31.56,0.055,0.022,0.209,$60.00,"2,610",2024-11-01,$32.00,$0.25,2024-11-01,$31.50,$0.35,$32.622,$30.878,$1.743
VCLT,$79.16,0.055,0.023,0.229,$167.50,638,2024-11-15,$80.00,$0.62,2024-11-15,$79.00,$1.05,$81.697,$77.303,$4.393
WMT,$80.89,0.055,0.026,0.195,$222.50,"24,308",2024-11-01,$81.00,$1.15,2024-11-01,$81.00,$1.08,$83.247,$78.753,$4.493
CSCO,$56.38,0.055,0.017,0.421,$156.00,"10,406",2024-11-01,$57.00,$0.53,2024-11-01,$57.00,$1.03,$58.582,$55.418,$3.163
STZ,$240.04,0.056,0.023,0.467,$795.00,"29,920",2024-11-01,$240.00,$3.80,2024-11-01,$242.50,$4.15,$247.972,$234.528,$13.443
TJX,$117.48,0.056,0.020,0.284,$280.50,"27,648",2024-11-01,$119.00,$1.01,2024-11-01,$118.00,$1.80,$121.827,$115.173,$6.653
PFF,$33.45,0.057,0.015,0.089,$92.50,506,2024-11-15,$33.00,$0.60,2024-12-20,$33.00,$0.33,$33.947,$32.053,$1.893
PPG,$131.36,0.058,0.024,0.294,$377.50,"26,790",2024-11-01,$132.00,$1.73,2024-11-01,$132.00,$2.05,$135.797,$128.203,$7.593
QQQ,$491.25,0.058,0.017,0.195,$1432.00,"709,018",2024-11-01,$497.00,$5.23,2024-11-01,$497.00,$9.09,$511.342,$482.658,$28.683
JPM,$224.42,0.058,0.026,0.434,$650.00,"37,506",2024-11-01,$225.00,$3.22,2024-11-01,$225.00,$3.28,$231.522,$218.478,$13.043
AZN,$78.31,0.060,0.027,0.151,$281.50,"15,360",2024-11-01,$78.00,$1.25,2024-11-01,$79.00,$1.56,$80.837,$76.163,$4.673
HD,$415.60,0.060,0.022,0.396,$1120.00,"78,528",2024-11-01,$420.00,$4.53,2024-11-01,$417.50,$6.68,$431.222,$406.278,$24.943
ABT,$117.82,0.060,0.020,0.237,$357.00,"22,748",2024-11-01,$119.00,$1.30,2024-11-01,$119.00,$2.27,$122.592,$115.408,$7.183
MAR,$264.57,0.061,0.029,0.474,$1050.00,"19,412",2024-11-01,$262.50,$5.15,2024-11-01,$267.50,$5.35,$273.022,$256.978,$16.043
JEPQ,$54.99,0.061,0.030,0.120,$165.00,"1,155",2024-11-15,$55.00,$0.73,2024-11-15,$55.00,$0.93,$56.672,$53.328,$3.343
LOW,$281.31,0.062,0.027,0.417,$877.50,"32,175",2024-11-01,$282.50,$3.58,2024-11-01,$282.50,$5.20,$291.297,$273.703,$17.593
CAG,$29.72,0.063,0.014,0.781,$67.50,"2,176",2024-11-01,$30.50,$0.30,2024-11-01,$30.00,$0.38,$31.197,$29.303,$1.893
ACWI,$120.00,0.063,0.015,0.125,$380.00,"4,794",2024-11-15,$122.00,$1.12,2024-11-15,$122.00,$2.67,$125.822,$118.178,$7.643
DVY,$137.13,0.063,0.022,0.133,$385.00,"2,124",2024-11-15,$139.00,$1.23,2024-11-15,$138.00,$2.62,$142.872,$134.128,$8.743
GILD,$86.75,0.063,0.018,0.208,$277.00,"16,112",2024-11-01,$88.00,$1.18,2024-11-01,$88.00,$1.59,$90.792,$85.208,$5.583
CPB,$48.35,0.064,0.019,0.401,$155.00,"3,612",2024-11-01,$49.00,$0.68,2024-11-01,$49.00,$0.88,$50.572,$47.428,$3.143
HSY,$183.90,0.065,0.026,0.331,$595.00,"15,400",2024-11-01,$185.00,$2.65,2024-11-01,$185.00,$3.30,$190.972,$179.028,$11.943
SCHW,$71.91,0.066,0.032,0.571,$235.00,"17,072",2024-11-01,$72.00,$1.21,2024-11-01,$72.00,$1.15,$74.372,$69.628,$4.743
ROST,$149.19,0.066,0.028,0.439,$492.50,"25,311",2024-11-01,$150.00,$2.25,2024-11-01,$150.00,$2.67,$154.947,$145.053,$9.893
DE,$409.37,0.066,0.025,0.182,$1715.00,"16,617",2024-11-01,$402.50,$8.70,2024-11-01,$410.00,$8.45,$419.672,$392.828,$26.843
PNC,$188.80,0.066,0.027,0.279,$627.50,"17,596",2024-11-01,$190.00,$2.77,2024-11-01,$190.00,$3.50,$196.297,$183.703,$12.593
KO,$69.90,0.066,0.025,0.200,$181.50,"15,244",2024-11-01,$71.00,$0.70,2024-11-01,$70.00,$1.11,$72.837,$68.163,$4.673
EMR,$110.59,0.067,0.025,0.353,$320.00,"24,674",2024-11-01,$112.00,$1.23,2024-11-01,$111.00,$1.98,$115.222,$107.778,$7.443
BAC,$42.80,0.068,0.030,0.389,$144.50,"29,230",2024-11-01,$43.00,$0.58,2024-11-01,$43.00,$0.86,$44.467,$41.533,$2.933
USB,$49.97,0.069,0.034,0.434,$169.50,"10,439",2024-11-01,$50.00,$0.90,2024-11-01,$50.00,$0.80,$51.717,$48.283,$3.433
EPD,$29.19,0.069,0.028,0.098,$97.50,"3,074",2024-11-15,$29.00,$0.41,2024-11-08,$29.00,$0.56,$29.997,$28.003,$1.993
KR,$56.54,0.069,0.025,0.167,$190.50,"7,220",2024-11-01,$56.00,$1.31,2024-11-01,$56.00,$0.59,$57.927,$54.073,$3.853
ADSK,$289.19,0.069,0.019,0.374,$1135.00,"14,160",2024-11-01,$292.50,$4.80,2024-11-01,$295.00,$6.55,$303.872,$283.628,$20.243
NKE,$83.40,0.069,0.028,0.528,$289.00,"21,168",2024-11-01,$84.00,$1.19,2024-11-01,$84.00,$1.70,$86.912,$81.088,$5.823
MS,$119.44,0.069,0.018,0.623,$469.00,"65,268",2024-11-01,$121.00,$1.18,2024-11-01,$122.00,$3.51,$125.712,$117.288,$8.423
PG,$172.28,0.070,0.029,0.170,$469.50,"17,424",2024-11-01,$172.50,$2.42,2024-11-01,$170.00,$2.28,$177.217,$165.283,$11.933
WFC,$64.38,0.070,0.026,0.698,$224.50,"27,846",2024-11-01,$65.00,$0.90,2024-11-01,$65.00,$1.35,$67.267,$62.733,$4.533
PPH,$94.51,0.070,0.030,0.170,$332.50,"1,161",2024-11-15,$95.00,$1.62,2024-11-15,$95.00,$1.70,$98.347,$91.653,$6.693
VGLT,$59.02,0.071,0.028,0.276,$160.00,"2,448",2024-11-15,$60.00,$0.60,2024-11-15,$59.00,$1.00,$61.622,$57.378,$4.243
MCD,$314.70,0.071,0.027,0.244,$1130.00,"29,328",2024-11-01,$317.50,$4.72,2024-11-01,$317.50,$6.58,$328.822,$306.178,$22.643
FDX,$271.80,0.072,0.024,0.548,$982.50,"14,175",2024-11-01,$275.00,$4.92,2024-11-01,$275.00,$4.90,$284.847,$265.153,$19.693
DGRW,$84.54,0.072,0.031,0.129,$502.50,135,2024-11-15,$83.00,$2.38,2024-11-15,$87.00,$2.65,$88.047,$81.953,$6.093
MO,$49.74,0.072,0.026,0.147,$253.50,"4,988",2024-11-01,$49.50,$1.06,2024-11-01,$51.00,$1.48,$52.057,$48.443,$3.613
NTAP,$126.69,0.072,0.034,0.248,$455.00,"26,660",2024-11-01,$127.00,$2.28,2024-11-01,$127.00,$2.27,$131.572,$122.428,$9.143
FTNT,$82.12,0.074,0.023,0.415,$298.00,"19,311",2024-11-01,$81.00,$1.51,2024-11-01,$81.00,$1.47,$84.002,$77.998,$6.003
AKAM,$103.58,0.074,0.019,0.230,$340.00,"24,360",2024-11-01,$106.00,$1.38,2024-11-01,$105.00,$2.03,$109.422,$101.578,$7.843
XOM,$120.35,0.075,0.032,0.405,$449.00,"51,336",2024-11-01,$121.00,$2.08,2024-11-01,$121.00,$2.42,$125.512,$116.488,$9.023
DPZ,$428.36,0.075,0.022,0.246,$1375.00,"25,088",2024-11-01,$437.50,$4.45,2024-11-01,$432.50,$9.30,$451.272,$418.728,$32.543
FIS,$89.79,0.075,0.023,0.327,$480.00,"18,025",2024-11-01,$87.00,$3.60,2024-11-01,$90.00,$1.20,$91.822,$85.178,$6.643
AIG,$77.14,0.075,0.021,0.329,$142.50,"8,213",2024-11-01,$80.00,$0.95,2024-11-01,$77.00,$0.47,$81.447,$75.553,$5.893
PGR,$251.34,0.075,0.019,0.162,$587.50,"29,565",2024-11-01,$260.00,$1.23,2024-11-01,$252.50,$4.65,$265.897,$246.603,$19.293
MDLZ,$71.12,0.075,0.033,0.290,$317.50,"7,625",2024-11-01,$71.00,$1.45,2024-11-01,$72.00,$1.73,$74.197,$68.803,$5.393
EMB,$92.73,0.076,0.024,0.085,$395.50,255,2025-01-17,$91.00,$2.22,2025-01-17,$92.00,$1.74,$94.977,$88.023,$6.953
TFC,$42.95,0.076,0.031,0.225,$138.00,"12,210",2024-11-01,$43.50,$0.59,2024-11-01,$43.00,$0.78,$44.902,$41.598,$3.303
ADP,$290.70,0.076,0.020,0.266,$1005.00,"13,640",2024-11-01,$297.50,$3.70,2024-11-01,$295.00,$6.35,$307.572,$284.928,$22.643
SHEL,$67.34,0.077,0.036,0.238,$307.50,"11,583",2024-11-01,$67.00,$1.50,2024-11-01,$68.00,$1.57,$70.097,$64.903,$5.193
DIS,$96.75,0.077,0.036,0.163,$272.00,"33,124",2024-11-01,$98.00,$1.23,2024-11-01,$96.00,$1.50,$100.742,$93.258,$7.483
TGT,$155.89,0.077,0.029,0.241,$607.00,"33,222",2024-11-01,$157.50,$2.42,2024-11-01,$157.50,$3.65,$163.592,$151.408,$12.183
EOG,$127.36,0.078,0.038,0.368,$442.50,"49,665",2024-11-01,$128.00,$2.10,2024-11-01,$127.00,$2.33,$132.447,$122.553,$9.893
HPQ,$37.58,0.078,0.037,0.312,$143.50,"14,874",2024-11-01,$37.50,$0.80,2024-11-01,$37.50,$0.64,$38.957,$36.043,$2.913
CVX,$148.73,0.078,0.023,0.240,$461.50,"15,563",2024-11-01,$152.50,$2.43,2024-11-01,$150.00,$2.19,$157.137,$145.363,$11.773
CRH,$92.85,0.078,0.032,0.215,$412.50,"2,728",2024-11-01,$93.00,$2.17,2024-11-01,$94.00,$1.95,$97.147,$89.853,$7.293
GD,$304.87,0.079,0.023,0.140,$1215.00,"12,240",2024-11-01,$310.00,$5.50,2024-11-01,$310.00,$6.65,$322.172,$297.828,$24.343
VGSH,$58.58,0.079,0.011,0.053,$422.50,2,2024-12-20,$55.00,$3.70,2024-12-20,$59.00,$0.53,$59.247,$54.753,$4.493
ORCL,$175.68,0.079,0.029,0.293,$697.50,"27,686",2024-11-01,$177.50,$2.75,2024-11-01,$177.50,$4.22,$184.497,$170.503,$13.993
CRM,$290.86,0.079,0.030,0.462,$1285.00,"32,946",2024-11-01,$292.50,$5.38,2024-11-01,$295.00,$7.47,$305.372,$282.128,$23.243
BAX,$36.76,0.080,0.034,0.407,$95.00,"3,700",2024-11-01,$37.50,$0.35,2024-11-01,$36.50,$0.60,$38.472,$35.528,$2.943
VXUS,$63.35,0.080,0.022,0.132,$405.00,130,2024-11-15,$63.00,$1.40,2024-11-15,$66.00,$2.65,$67.072,$61.928,$5.143
V,$290.39,0.080,0.033,0.247,$1165.00,"77,000",2024-11-01,$292.50,$5.10,2024-11-01,$292.50,$6.55,$304.172,$280.828,$23.343
FOXA,$42.08,0.080,0.030,0.183,$117.50,"2,905",2024-11-01,$43.00,$0.65,2024-11-01,$42.00,$0.53,$44.197,$40.803,$3.393
C,$64.25,0.080,0.036,0.287,$254.00,"13,905",2024-11-01,$64.00,$1.33,2024-11-01,$64.00,$1.21,$66.562,$61.438,$5.123
UNP,$241.72,0.080,0.038,0.201,$1340.00,"32,568",2024-11-01,$237.50,$6.85,2024-11-01,$245.00,$6.55,$250.922,$231.578,$19.343
MMC,$226.92,0.080,0.027,0.105,$920.00,"1,170",2024-11-15,$230.00,$3.65,2024-11-15,$230.00,$5.55,$239.222,$220.778,$18.443
RTH,$220.01,0.080,0.018,0.141,$1400.00,182,2024-11-15,$220.00,$4.00,2024-11-15,$230.00,$10.00,$234.022,$215.978,$18.043
WMB,$51.54,0.080,0.029,0.578,$202.50,"8,305",2024-11-01,$51.00,$1.35,2024-11-01,$51.00,$0.68,$53.047,$48.953,$4.093
RY,$126.47,0.080,0.032,0.132,$760.00,"1,540",2024-11-15,$125.00,$3.10,2024-11-15,$130.00,$4.50,$132.622,$122.378,$10.243
CL,$101.19,0.081,0.038,0.198,$460.00,"11,448",2024-11-01,$101.00,$1.77,2024-11-01,$102.00,$2.83,$105.622,$97.378,$8.243
HON,$219.55,0.081,0.022,0.321,$1032.50,"23,368",2024-11-01,$222.50,$3.23,2024-11-01,$225.00,$7.10,$232.847,$214.653,$18.193
O,$63.96,0.081,0.025,0.156,$262.50,"1,302",2024-11-15,$65.00,$0.80,2024-11-15,$65.00,$1.82,$67.647,$62.353,$5.293
ZM,$70.20,0.082,0.037,0.208,$335.50,"19,580",2024-11-01,$70.00,$1.64,2024-11-01,$71.00,$1.72,$73.377,$67.623,$5.753
APO,$142.85,0.082,0.026,0.648,$590.00,"31,270",2024-11-01,$145.00,$3.25,2024-11-01,$145.00,$2.65,$150.922,$139.078,$11.843
VZ,$43.85,0.082,0.027,0.166,$230.50,"14,652",2024-11-01,$44.00,$0.91,2024-11-01,$45.00,$1.40,$46.327,$42.673,$3.653
MPLX,$44.32,0.083,0.038,0.092,$132.50,"1,575",2024-11-15,$45.00,$0.40,2024-11-15,$44.00,$0.93,$46.347,$42.653,$3.693
DOW,$52.94,0.083,0.031,0.237,$170.00,"6,768",2024-11-01,$54.00,$0.74,2024-11-01,$53.00,$0.95,$55.722,$51.278,$4.443
MET,$85.69,0.084,0.033,0.265,$312.50,"15,386",2024-11-01,$87.00,$1.27,2024-11-01,$86.00,$1.85,$90.147,$82.853,$7.293
GE,$192.18,0.085,0.041,0.162,$562.00,"30,996",2024-11-01,$195.00,$4.62,2025-01-17,$190.00,$1.00,$200.642,$184.358,$16.283
OXY,$51.72,0.085,0.028,0.369,$270.00,"19,035",2024-11-01,$52.00,$1.04,2024-11-01,$53.00,$1.67,$54.722,$50.278,$4.443
BXSL,$30.41,0.085,0.028,0.170,$125.00,315,2024-11-15,$30.00,$0.88,2024-11-15,$30.00,$0.38,$31.272,$28.728,$2.543
LIN,$486.06,0.085,0.035,0.140,$2075.00,"15,397",2024-11-15,$490.00,$9.30,2024-11-15,$490.00,$11.45,$510.772,$469.228,$41.543
QQQE,$91.00,0.085,0.027,0.126,$440.00,656,2024-11-15,$92.00,$1.57,2024-11-15,$93.00,$2.83,$96.422,$88.578,$7.843
BBY,$98.68,0.085,0.025,0.203,$412.50,"13,608",2024-11-01,$97.00,$1.82,2024-11-01,$97.00,$2.31,$101.147,$92.853,$8.293
KMB,$146.09,0.086,0.020,0.130,$687.50,"17,877",2024-11-01,$149.00,$2.08,2024-11-01,$150.00,$4.80,$155.897,$143.103,$12.793
INDY,$54.10,0.086,0.022,0.210,$325.00,40,2024-11-15,$52.00,$2.45,2024-11-15,$54.00,$0.80,$55.272,$50.728,$4.543
MNST,$53.44,0.086,0.042,0.247,$277.50,"8,424",2024-11-01,$53.00,$1.48,2024-11-01,$54.00,$1.30,$55.797,$51.203,$4.593
TTWO,$154.79,0.086,0.034,0.161,$795.00,"20,748",2024-11-01,$155.00,$3.38,2024-11-01,$157.50,$4.58,$162.972,$149.528,$13.443
AAPL,$231.78,0.087,0.035,0.157,$885.00,"62,280",2024-11-01,$235.00,$3.92,2024-11-01,$232.50,$4.92,$243.872,$223.628,$20.243
GIS,$71.00,0.087,0.023,0.228,$312.50,"2,028",2024-11-15,$72.50,$0.80,2024-11-15,$72.50,$2.33,$75.647,$69.353,$6.293
KHC,$35.95,0.087,0.038,0.147,$178.00,"2,438",2024-11-01,$35.50,$0.96,2024-11-01,$36.00,$0.81,$37.302,$34.198,$3.103
BNDX,$50.20,0.087,0.039,0.034,$415.00,35,2024-11-15,$48.00,$2.33,2024-11-15,$52.00,$1.82,$52.172,$47.828,$4.343
PM,$120.14,0.087,0.025,0.083,$680.00,"25,380",2024-11-01,$121.00,$2.30,2024-11-22,$124.00,$4.50,$127.822,$117.178,$10.643
QQQM,$202.20,0.087,0.030,0.129,$890.00,"3,542",2024-11-15,$205.00,$3.45,2024-11-15,$205.00,$5.45,$213.922,$196.078,$17.843
PSX,$133.35,0.087,0.043,0.250,$830.00,"51,959",2024-11-01,$131.00,$4.20,2024-11-01,$136.00,$4.10,$139.322,$127.678,$11.643
AFL,$114.38,0.087,0.034,0.221,$552.50,"14,586",2024-11-01,$115.00,$2.62,2024-11-01,$116.00,$2.90,$120.547,$110.453,$10.093
LNG,$182.44,0.087,0.024,0.263,$937.50,"16,995",2024-11-01,$185.00,$3.03,2024-11-01,$187.50,$6.35,$194.397,$178.103,$16.293
GSK,$39.21,0.088,0.019,0.323,$200.00,"6,900",2024-11-01,$40.00,$0.45,2024-11-01,$40.50,$1.55,$42.022,$38.478,$3.543
BCE,$33.48,0.088,0.029,0.299,$147.50,728,2024-11-15,$34.00,$0.55,2024-11-15,$34.00,$0.93,$35.497,$32.503,$2.993
BNS,$53.69,0.088,0.021,0.180,$240.00,875,2024-11-15,$55.00,$0.55,2024-11-15,$55.00,$1.85,$57.422,$52.578,$4.843
WM,$213.08,0.088,0.035,0.175,$945.00,"5,395",2024-11-01,$215.00,$3.95,2024-11-01,$215.00,$5.50,$224.472,$205.528,$18.943
CTAS,$212.93,0.088,0.035,0.172,$945.00,"10,246",2024-11-15,$215.00,$4.45,2024-11-15,$215.00,$5.00,$224.472,$205.528,$18.943
SPOT,$366.75,0.088,0.026,0.242,$1772.50,"43,329",2024-11-01,$372.50,$6.12,2024-11-01,$375.00,$11.60,$390.247,$357.253,$32.993
NTR,$48.30,0.088,0.038,0.212,$210.00,"11,663",2024-11-01,$48.00,$1.25,2024-11-01,$48.00,$0.85,$50.122,$45.878,$4.243
BTI,$35.80,0.089,0.039,0.350,$157.50,"1,350",2024-11-15,$36.00,$0.55,2024-11-15,$36.00,$1.02,$37.597,$34.403,$3.193
BUG,$32.08,0.089,0.042,0.273,$140.00,306,2024-11-15,$32.00,$0.73,2024-11-15,$32.00,$0.68,$33.422,$30.578,$2.843
ADM,$58.29,0.089,0.033,0.267,$260.00,"8,418",2024-11-01,$59.00,$1.20,2024-11-01,$59.00,$1.40,$61.622,$56.378,$5.243
WDAY,$243.26,0.089,0.043,0.153,$1460.00,"33,649",2024-11-01,$240.00,$7.50,2024-11-01,$247.50,$7.10,$254.622,$232.878,$21.743
BMO,$93.85,0.089,0.033,0.189,$422.50,704,2024-11-15,$95.00,$1.07,2024-11-15,$95.00,$3.15,$99.247,$90.753,$8.493
TD,$56.42,0.089,0.026,0.581,$255.00,"1,681",2024-11-15,$57.50,$0.85,2024-11-15,$57.50,$1.70,$60.072,$54.928,$5.143
FAST,$77.77,0.090,0.041,0.386,$345.00,"2,475",2024-11-15,$77.50,$1.75,2024-11-15,$77.50,$1.70,$80.972,$74.028,$6.943
PAYX,$142.32,0.090,0.027,0.282,$647.50,"2,520",2024-11-15,$145.00,$1.73,2024-11-15,$145.00,$4.75,$151.497,$138.503,$12.993
FE,$43.90,0.090,0.043,0.145,$195.00,884,2024-11-15,$44.00,$0.65,2024-11-15,$44.00,$1.30,$45.972,$42.028,$3.943
SAIC,$147.64,0.090,0.030,0.316,$670.00,"1,976",2024-11-15,$150.00,$2.35,2024-11-15,$150.00,$4.35,$156.722,$143.278,$13.443
