Symbol,Stock Price,Normalized Breakeven Difference,Escape Ratio,Variability Ratio,Cost of Strangle,Contract Pairs Tried,Call Expiration,Call Strike,Call Premium,Put Expiration,Put Strike,Put Premium,Upper Breakeven,Lower Breakeven,Breakeven Difference
CME,$227.17,0.090,0.033,0.189,$1030.00,"2,592",2024-11-15,$230.00,$4.15,2024-11-15,$230.00,$6.15,$240.322,$219.678,$20.643
NI,$34.96,0.090,0.044,0.117,$155.00,128,2024-11-15,$35.00,$0.70,2024-11-15,$35.00,$0.85,$36.572,$33.428,$3.143
QQQJ,$30.46,0.090,0.044,0.127,$185.00,432,2024-11-15,$30.00,$1.00,2024-11-15,$31.00,$0.85,$31.872,$29.128,$2.743
FI,$197.70,0.090,0.040,0.369,$1020.00,"8,174",2024-11-01,$197.50,$3.80,2024-11-01,$200.00,$6.40,$207.722,$189.778,$17.943
ED,$106.14,0.090,0.034,0.137,$472.50,"1,887",2024-11-15,$105.00,$2.70,2024-11-15,$105.00,$2.02,$109.747,$100.253,$9.493
OKTA,$74.45,0.091,0.038,0.291,$438.50,"24,978",2024-11-01,$74.00,$2.01,2024-11-01,$76.00,$2.38,$78.407,$71.593,$6.813
SNV,$50.85,0.091,0.038,0.438,$177.50,"10,400",2024-11-01,$51.00,$1.12,2024-11-01,$50.00,$0.65,$52.797,$48.203,$4.593
KKR,$137.84,0.091,0.041,0.175,$680.00,"41,085",2024-11-01,$138.00,$3.40,2024-11-01,$139.00,$3.40,$144.822,$132.178,$12.643
ULTA,$371.72,0.091,0.040,0.468,$1330.00,"49,995",2024-11-01,$377.50,$6.35,2024-11-01,$370.00,$6.95,$390.822,$356.678,$34.143
BUD,$65.30,0.092,0.036,0.188,$300.00,"5,658",2024-11-01,$66.00,$1.30,2024-11-01,$66.00,$1.70,$69.022,$62.978,$6.043
DVN,$40.69,0.092,0.044,0.356,$159.50,"16,302",2024-11-01,$41.00,$0.77,2024-11-01,$40.50,$0.83,$42.617,$38.883,$3.733
CIBR,$62.18,0.092,0.043,0.270,$182.50,"1,380",2024-11-15,$63.00,$1.02,2024-11-15,$61.00,$0.80,$64.847,$59.153,$5.693
BSX,$87.00,0.092,0.040,0.189,$445.00,"20,711",2024-11-01,$86.00,$2.12,2024-11-01,$87.00,$2.33,$90.472,$82.528,$7.943
CAH,$112.55,0.092,0.042,0.133,$517.50,"16,891",2024-11-01,$113.00,$2.42,2024-11-01,$113.00,$2.75,$118.197,$107.803,$10.393
HSBC,$44.37,0.092,0.043,0.156,$152.50,"7,676",2024-11-01,$45.00,$0.73,2024-11-01,$44.00,$0.80,$46.547,$42.453,$4.093
PPL,$32.37,0.092,0.028,0.156,$150.00,280,2024-11-15,$33.00,$0.50,2024-11-15,$33.00,$1.00,$34.522,$31.478,$3.043
MKC,$80.02,0.092,0.046,0.213,$367.50,340,2024-11-15,$80.00,$2.05,2024-11-15,$80.00,$1.62,$83.697,$76.303,$7.393
CPNG,$25.38,0.092,0.023,0.229,$118.00,"16,983",2024-11-01,$26.00,$0.33,2024-11-01,$26.00,$0.85,$27.202,$24.798,$2.403
RPM,$133.55,0.093,0.036,0.362,$622.50,"1,224",2024-11-15,$135.00,$2.38,2024-11-15,$135.00,$3.85,$141.247,$128.753,$12.493
CM,$62.47,0.093,0.046,0.148,$287.50,"1,176",2024-11-15,$62.50,$1.62,2024-11-15,$62.50,$1.25,$65.397,$59.603,$5.793
BURL,$259.11,0.093,0.034,0.380,$965.00,"17,617",2024-11-01,$265.00,$4.25,2024-11-01,$260.00,$5.40,$274.672,$250.328,$24.343
DUK,$119.78,0.093,0.045,0.220,$555.00,728,2024-11-15,$120.00,$3.05,2024-11-15,$120.00,$2.50,$125.572,$114.428,$11.143
WPM,$63.58,0.093,0.040,0.230,$295.00,"16,032",2024-11-01,$64.00,$1.32,2024-11-01,$64.00,$1.62,$66.972,$61.028,$5.943
ABBV,$190.46,0.093,0.044,0.117,$885.00,"16,100",2024-11-01,$190.00,$3.80,2024-11-01,$190.00,$5.05,$198.872,$181.128,$17.743
SNA,$327.79,0.093,0.040,0.301,$1540.00,"1,260",2024-11-15,$330.00,$7.35,2024-11-15,$330.00,$8.05,$345.422,$314.578,$30.843
ETR,$134.32,0.094,0.042,0.145,$630.00,800,2024-11-15,$135.00,$2.85,2024-11-15,$135.00,$3.45,$141.322,$128.678,$12.643
FANG,$182.46,0.094,0.034,0.473,$870.00,"46,920",2024-11-01,$185.00,$4.00,2024-11-01,$185.00,$4.70,$193.722,$176.278,$17.443
J,$143.10,0.094,0.035,0.520,$682.50,"3,192",2024-11-15,$145.00,$2.53,2024-11-15,$145.00,$4.30,$151.847,$138.153,$13.693
WTRG,$40.08,0.095,0.045,0.198,$187.50,91,2024-11-15,$40.00,$0.95,2024-11-15,$40.00,$0.93,$41.897,$38.103,$3.793
AEE,$88.73,0.095,0.034,0.142,$425.00,192,2024-11-15,$90.00,$1.52,2024-11-15,$90.00,$2.73,$94.272,$85.728,$8.543
EXC,$40.97,0.095,0.047,0.136,$192.50,"1,155",2024-11-15,$41.00,$0.82,2024-11-15,$41.00,$1.10,$42.947,$39.053,$3.893
XEL,$63.25,0.095,0.021,0.142,$307.50,196,2024-11-15,$65.00,$0.77,2024-11-15,$65.00,$2.30,$68.097,$61.903,$6.193
AVB,$225.69,0.095,0.030,0.213,$1095.00,"2,622",2024-11-15,$230.00,$3.60,2024-11-15,$230.00,$7.35,$240.972,$219.028,$21.943
CVS,$65.02,0.096,0.031,0.542,$304.00,"16,791",2024-11-01,$64.00,$1.09,2024-11-01,$64.00,$1.94,$67.062,$60.938,$6.123
RTX,$125.75,0.096,0.031,0.204,$810.50,"33,867",2024-11-01,$126.00,$3.03,2024-11-01,$130.00,$5.07,$134.127,$121.873,$12.253
DD,$85.29,0.096,0.034,0.229,$462.50,"14,606",2024-11-01,$86.00,$1.02,2024-11-08,$87.00,$3.60,$90.647,$82.353,$8.293
POST,$115.93,0.096,0.015,0.084,$575.00,989,2024-11-15,$120.00,$1.00,2024-11-15,$120.00,$4.75,$125.772,$114.228,$11.543
MRK,$109.75,0.096,0.046,0.285,$774.50,"33,660",2024-11-01,$107.00,$4.08,2024-11-08,$112.00,$3.67,$114.767,$104.233,$10.533
ENB,$41.81,0.096,0.032,0.088,$202.50,320,2024-11-15,$42.50,$0.53,2024-11-15,$42.50,$1.50,$44.547,$40.453,$4.093
WEC,$99.14,0.096,0.040,0.146,$480.00,"1,394",2024-11-15,$100.00,$1.85,2024-11-15,$100.00,$2.95,$104.822,$95.178,$9.643
DTE,$128.47,0.096,0.037,0.130,$625.00,"1,204",2024-11-15,$130.00,$2.70,2024-11-15,$130.00,$3.55,$136.272,$123.728,$12.543
NVO,$118.22,0.096,0.042,0.461,$472.00,"48,357",2024-11-01,$120.00,$2.11,2024-11-01,$118.00,$2.61,$124.742,$113.258,$11.483
MPC,$158.31,0.097,0.046,0.287,$640.50,"34,200",2024-11-01,$160.00,$3.20,2024-11-01,$157.50,$3.21,$166.427,$151.073,$15.353
VICI,$33.05,0.097,0.031,0.105,$155.00,408,2024-11-15,$32.50,$1.10,2024-11-15,$32.50,$0.45,$34.072,$30.928,$3.143
DG,$82.23,0.097,0.026,0.269,$537.50,"35,850",2024-11-01,$79.00,$3.46,2024-11-01,$82.00,$1.92,$84.397,$76.603,$7.793
COP,$105.16,0.097,0.027,0.306,$468.50,"23,370",2024-11-01,$108.00,$1.82,2024-11-01,$107.00,$2.87,$112.707,$102.293,$10.413
RSG,$205.62,0.097,0.028,0.113,$1015.00,"2,232",2024-11-15,$210.00,$3.30,2024-11-15,$210.00,$6.85,$220.172,$199.828,$20.343
BK,$77.30,0.097,0.031,0.275,$505.00,"1,664",2024-11-15,$77.50,$1.90,2024-11-15,$80.00,$3.15,$82.572,$74.928,$7.643
OMC,$105.22,0.097,0.046,0.122,$507.50,"1,768",2024-11-15,$105.00,$2.88,2024-11-15,$105.00,$2.20,$110.097,$99.903,$10.193
TMUS,$221.95,0.097,0.041,0.301,$960.00,"29,631",2024-11-01,$225.00,$4.15,2024-11-01,$222.50,$5.45,$234.622,$212.878,$21.743
ACWX,$56.02,0.097,0.032,0.116,$475.00,54,2024-11-15,$55.00,$1.75,2024-11-15,$59.00,$3.00,$59.772,$54.228,$5.543
DOCU,$72.60,0.097,0.043,0.678,$353.50,"21,492",2024-11-01,$73.00,$1.58,2024-11-01,$73.00,$1.95,$76.557,$69.443,$7.113
EVRG,$61.15,0.097,0.028,0.154,$302.50,270,2024-11-15,$62.50,$0.75,2024-11-15,$62.50,$2.28,$65.547,$59.453,$6.093
TRV,$264.82,0.098,0.048,0.273,$1790.00,"3,440",2024-11-15,$260.00,$9.20,2024-11-15,$270.00,$8.70,$277.922,$252.078,$25.843
ATO,$143.94,0.098,0.042,0.152,$1205.00,950,2024-11-15,$140.00,$4.85,2024-11-15,$150.00,$7.20,$152.072,$137.928,$14.143
PANW,$376.15,0.098,0.042,0.446,$2470.00,"113,220",2024-11-01,$372.50,$11.00,2024-11-01,$385.00,$13.70,$397.222,$360.278,$36.943
DRI,$162.93,0.098,0.037,0.310,$810.00,"1,334",2024-11-15,$165.00,$4.00,2024-11-15,$165.00,$4.10,$173.122,$156.878,$16.243
PHO,$70.74,0.098,0.046,0.081,$447.50,312,2024-11-15,$70.00,$2.05,2024-12-20,$72.00,$2.42,$74.497,$67.503,$6.993
DLR,$162.13,0.099,0.040,0.123,$930.00,"3,500",2024-11-01,$162.50,$4.85,2024-11-01,$165.00,$4.45,$171.822,$155.678,$16.143
DKS,$212.66,0.099,0.022,0.225,$1205.00,"15,678",2024-11-01,$217.50,$4.30,2024-11-01,$220.00,$7.75,$229.572,$207.928,$21.643
NSC,$248.24,0.099,0.043,0.139,$1485.00,"22,750",2024-11-01,$247.50,$6.10,2024-11-01,$252.50,$8.75,$262.372,$237.628,$24.743
UBS,$32.56,0.099,0.044,0.240,$135.00,"5,246",2024-11-01,$33.00,$0.61,2024-11-01,$32.50,$0.73,$34.372,$31.128,$3.243
WPC,$59.30,0.099,0.038,0.251,$295.00,297,2024-11-15,$60.00,$1.25,2024-11-15,$60.00,$1.70,$62.972,$57.028,$5.943
BP,$30.93,0.099,0.032,0.222,$154.00,"8,910",2024-11-01,$31.50,$0.72,2024-11-01,$31.50,$0.82,$33.062,$29.938,$3.123
DEO,$135.77,0.099,0.020,0.175,$692.50,780,2024-11-15,$140.00,$2.67,2024-11-15,$140.00,$4.25,$146.947,$133.053,$13.893
HES,$139.46,0.099,0.026,0.220,$907.50,"19,588",2024-11-01,$141.00,$2.42,2024-11-01,$145.00,$6.65,$150.097,$135.903,$14.193
DSGX,$106.04,0.099,0.014,0.183,$545.00,224,2024-11-15,$110.00,$1.45,2024-11-15,$110.00,$4.00,$115.472,$104.528,$10.943
IJT,$140.89,0.100,0.039,0.096,$857.50,"1,736",2024-11-15,$141.00,$3.62,2024-11-15,$144.00,$4.95,$149.597,$135.403,$14.193
EPR,$49.39,0.100,0.038,0.122,$247.50,128,2024-11-15,$50.00,$0.57,2024-11-15,$50.00,$1.90,$52.497,$47.503,$4.993
UL,$62.88,0.100,0.044,0.164,$310.00,"1,952",2024-11-15,$62.50,$1.70,2024-11-15,$62.50,$1.40,$65.622,$59.378,$6.243
MAA,$152.96,0.100,0.037,0.269,$775.00,544,2024-11-15,$155.00,$3.00,2024-11-15,$155.00,$4.75,$162.772,$147.228,$15.543
LEN,$185.50,0.100,0.040,0.189,$940.00,"34,398",2024-11-01,$187.50,$3.95,2024-11-01,$187.50,$5.45,$196.922,$178.078,$18.843
BF.B,$49.42,0.101,0.039,0.198,$250.00,96,2024-11-15,$50.00,$1.15,2024-11-15,$50.00,$1.35,$52.522,$47.478,$5.043
CI,$358.58,0.101,0.029,0.154,$1650.00,"13,986",2024-11-01,$352.50,$9.70,2024-11-01,$350.00,$6.80,$369.022,$333.478,$35.543
EQR,$74.69,0.101,0.047,0.194,$377.50,675,2024-11-15,$75.00,$1.98,2024-11-15,$75.00,$1.80,$78.797,$71.203,$7.593
BOX,$32.80,0.101,0.045,0.127,$165.00,"1,125",2024-11-15,$33.00,$0.80,2024-11-15,$33.00,$0.85,$34.672,$31.328,$3.343
FDS,$470.46,0.101,0.031,0.138,$2430.00,649,2024-11-15,$480.00,$8.25,2024-11-15,$480.00,$16.05,$504.322,$455.678,$48.643
BOTZ,$31.56,0.101,0.037,0.147,$160.00,814,2024-11-15,$32.00,$0.60,2024-11-15,$32.00,$1.00,$33.622,$30.378,$3.243
YUM,$133.73,0.101,0.042,0.222,$682.50,"2,112",2024-11-15,$135.00,$3.03,2024-11-15,$135.00,$3.80,$141.847,$128.153,$13.693
ICE,$164.81,0.101,0.050,0.128,$835.00,"2,052",2024-11-15,$165.00,$4.40,2024-11-15,$165.00,$3.95,$173.372,$156.628,$16.743
VRTX,$498.73,0.102,0.044,0.239,$3300.00,"40,432",2024-11-01,$495.00,$14.20,2024-11-01,$510.00,$18.80,$528.022,$476.978,$51.043
WCN,$182.43,0.102,0.038,0.097,$945.00,735,2024-11-15,$185.00,$3.70,2024-11-15,$185.00,$5.75,$194.472,$175.528,$18.943
AIQ,$37.54,0.102,0.040,0.189,$192.50,"1,000",2024-11-15,$38.00,$0.77,2024-11-15,$38.00,$1.15,$39.947,$36.053,$3.893
ITW,$260.66,0.102,0.049,0.104,$1330.00,"1,376",2024-11-15,$260.00,$7.65,2024-11-15,$260.00,$5.65,$273.322,$246.678,$26.643
CF,$84.58,0.103,0.030,0.258,$492.50,"23,540",2024-11-01,$86.00,$2.42,2024-11-01,$87.00,$2.50,$90.947,$82.053,$8.893
NDSN,$256.14,0.103,0.037,0.121,$1335.00,"1,014",2024-11-15,$260.00,$5.15,2024-11-15,$260.00,$8.20,$273.372,$246.628,$26.743
AON,$358.39,0.103,0.047,0.131,$1855.00,"2,436",2024-11-15,$360.00,$9.05,2024-11-15,$360.00,$9.50,$378.572,$341.428,$37.143
PFE,$29.27,0.103,0.044,0.138,$150.50,"16,256",2024-11-01,$29.50,$0.68,2024-11-01,$29.50,$0.83,$31.027,$27.973,$3.053
ABNB,$135.15,0.104,0.032,0.255,$812.00,"38,000",2024-11-01,$137.00,$3.27,2024-11-01,$139.00,$4.85,$145.142,$130.858,$14.283
DHR,$268.03,0.104,0.032,0.109,$1290.00,"13,640",2024-11-01,$275.00,$6.25,2024-11-01,$272.50,$6.65,$287.922,$259.578,$28.343
BMY,$53.37,0.104,0.049,0.284,$225.00,"12,240",2024-11-01,$54.00,$1.02,2024-11-01,$53.00,$1.23,$56.272,$50.728,$5.543
URBN,$37.56,0.104,0.041,0.182,$195.00,"10,044",2024-11-01,$38.00,$0.80,2024-11-01,$38.00,$1.15,$39.972,$36.028,$3.943
QTEC,$192.86,0.104,0.036,0.183,$1215.00,"1,870",2024-11-15,$194.00,$5.05,2024-11-15,$198.00,$7.10,$206.172,$185.828,$20.343
KDP,$36.50,0.104,0.039,0.148,$190.00,962,2024-11-15,$37.00,$0.78,2024-11-15,$37.00,$1.12,$38.922,$35.078,$3.843
AEP,$101.32,0.104,0.038,0.169,$517.50,"2,204",2024-11-15,$100.00,$2.92,2024-11-15,$100.00,$2.25,$105.197,$94.803,$10.393
ADI,$227.49,0.104,0.036,0.141,$1325.00,"21,112",2024-11-01,$230.00,$4.95,2024-11-01,$232.50,$8.30,$243.272,$219.228,$24.043
SU,$38.98,0.104,0.027,0.300,$206.00,"4,125",2024-11-01,$40.00,$0.41,2024-11-08,$40.00,$1.66,$42.082,$37.918,$4.163
WY,$32.80,0.104,0.046,0.110,$170.00,480,2024-11-15,$33.00,$0.80,2024-11-15,$33.00,$0.90,$34.722,$31.278,$3.443
ASO,$55.75,0.104,0.038,0.498,$285.00,"10,235",2024-11-01,$55.00,$1.80,2024-11-01,$55.00,$1.05,$57.872,$52.128,$5.743
PNW,$87.09,0.104,0.048,0.166,$205.00,650,2024-11-15,$90.00,$0.68,2024-11-15,$85.00,$1.38,$92.072,$82.928,$9.143
CCI,$115.68,0.105,0.023,0.229,$337.50,480,2024-11-15,$115.00,$1.60,2024-11-15,$110.00,$1.77,$118.397,$106.603,$11.793
IBN,$28.88,0.105,0.049,0.298,$150.00,256,2024-11-15,$29.00,$0.75,2024-11-15,$29.00,$0.75,$30.522,$27.478,$3.043
BBH,$177.94,0.105,0.044,0.116,$1490.00,407,2024-11-15,$174.00,$7.05,2024-11-15,$185.00,$7.85,$188.922,$170.078,$18.843
CASY,$389.72,0.105,0.052,0.197,$2050.00,"2,688",2024-11-15,$390.00,$9.40,2024-11-15,$390.00,$11.10,$410.522,$369.478,$41.043
HAL,$28.94,0.105,0.051,0.278,$150.50,"13,209",2024-11-01,$29.00,$0.76,2024-11-01,$29.00,$0.74,$30.527,$27.473,$3.053
SCZ,$65.52,0.105,0.036,0.109,$487.50,120,2024-12-20,$63.00,$3.55,2024-11-15,$66.00,$1.32,$67.897,$61.103,$6.793
AWK,$142.58,0.106,0.034,0.266,$740.00,374,2024-11-15,$140.00,$4.10,2024-11-15,$140.00,$3.30,$147.422,$132.578,$14.843
NVS,$116.51,0.106,0.025,0.076,$635.00,"1,575",2024-11-15,$120.00,$1.65,2024-11-15,$120.00,$4.70,$126.372,$113.628,$12.743
CPRT,$54.54,0.106,0.045,0.258,$290.00,"1,664",2024-11-15,$55.00,$0.93,2024-11-15,$55.00,$1.98,$57.922,$52.078,$5.843
ABM,$53.87,0.106,0.033,0.184,$290.00,140,2024-11-15,$55.00,$1.23,2024-11-15,$55.00,$1.68,$57.922,$52.078,$5.843
MSFT,$416.72,0.106,0.046,0.183,$2230.00,"207,142",2024-11-01,$420.00,$10.07,2024-11-01,$420.00,$12.23,$442.322,$397.678,$44.643
VTHR,$257.91,0.106,0.045,0.089,$2380.00,22,2024-11-15,$250.00,$11.50,2025-01-17,$270.00,$12.30,$273.822,$246.178,$27.643
SRE,$85.49,0.106,0.047,0.126,$450.00,750,2024-11-15,$85.00,$2.62,2024-11-15,$85.00,$1.88,$89.522,$80.478,$9.043
CNI,$115.88,0.106,0.045,0.124,$610.00,630,2024-11-15,$115.00,$3.00,2024-11-15,$115.00,$3.10,$121.122,$108.878,$12.243
NET,$90.40,0.107,0.047,0.535,$782.50,"57,566",2024-11-01,$88.00,$3.67,2024-11-01,$94.00,$4.15,$95.847,$86.153,$9.693
CAT,$393.62,0.107,0.038,0.263,$2380.00,"76,325",2024-11-01,$397.50,$8.40,2024-11-01,$402.50,$15.40,$421.322,$378.678,$42.643
TTE,$65.00,0.107,0.053,0.233,$345.00,"3,332",2024-11-15,$65.00,$1.82,2024-11-15,$65.00,$1.62,$68.472,$61.528,$6.943
GLPI,$51.31,0.107,0.027,0.042,$265.00,324,2024-11-15,$50.00,$1.93,2024-11-15,$50.00,$0.72,$52.672,$47.328,$5.343
OKE,$96.44,0.107,0.043,0.188,$520.00,"2,268",2024-11-15,$97.50,$1.98,2024-11-15,$97.50,$3.23,$102.722,$92.278,$10.443
TSCO,$298.32,0.107,0.028,0.313,$1515.00,"22,310",2024-11-01,$307.50,$4.40,2024-11-01,$305.00,$10.75,$322.672,$289.828,$32.843
WMG,$32.28,0.107,0.033,0.125,$175.00,"1,147",2024-11-15,$33.00,$0.62,2024-11-15,$33.00,$1.12,$34.772,$31.228,$3.543
DAL,$56.31,0.107,0.048,0.427,$298.50,"11,220",2024-11-01,$56.00,$1.19,2024-11-01,$56.00,$1.79,$59.007,$52.993,$6.013
OTIS,$105.21,0.107,0.033,0.303,$825.00,"1,298",2024-11-15,$105.00,$3.20,2024-11-15,$110.00,$5.05,$113.272,$101.728,$11.543
STT,$92.55,0.107,0.053,0.185,$495.00,"5,280",2024-11-15,$92.50,$2.67,2024-11-15,$92.50,$2.27,$97.472,$87.528,$9.943
DFS,$147.53,0.107,0.022,0.261,$817.50,"22,000",2024-11-01,$152.50,$3.12,2024-11-01,$152.50,$5.05,$160.697,$144.303,$16.393
TTD,$117.63,0.108,0.051,0.281,$632.50,"50,303",2024-11-01,$118.00,$3.15,2024-11-01,$118.00,$3.17,$124.347,$111.653,$12.693
WYNN,$97.99,0.108,0.039,0.890,$584.50,"40,704",2024-11-01,$99.00,$2.22,2024-11-01,$100.00,$3.62,$104.867,$94.133,$10.733
L,$81.72,0.108,0.016,0.121,$457.50,289,2024-11-15,$85.00,$0.82,2024-12-20,$85.00,$3.75,$89.597,$80.403,$9.193
D,$60.55,0.108,0.045,0.165,$322.50,494,2024-11-15,$60.00,$1.60,2024-11-15,$60.00,$1.62,$63.247,$56.753,$6.493
SKYY,$106.32,0.108,0.035,0.187,$635.00,"5,778",2024-11-15,$108.00,$2.20,2024-11-15,$109.00,$4.15,$114.372,$102.628,$11.743
ESS,$297.48,0.108,0.045,0.244,$2095.00,750,2024-11-15,$290.00,$10.90,2024-11-15,$300.00,$10.05,$310.972,$279.028,$31.943
ZS,$188.76,0.108,0.048,0.505,$1027.50,"29,643",2024-11-01,$190.00,$4.75,2024-11-01,$190.00,$5.53,$200.297,$179.703,$20.593
VTWG,$212.42,0.108,0.054,0.118,$1400.00,165,2024-11-15,$210.00,$7.25,2024-11-15,$215.00,$6.75,$224.022,$200.978,$23.043
CB,$293.10,0.109,0.032,0.147,$1130.00,"6,903",2024-11-15,$305.00,$6.80,2024-11-15,$295.00,$4.50,$316.322,$283.678,$32.643
AAXJ,$77.92,0.109,0.049,0.294,$670.00,288,2024-11-15,$75.00,$3.73,2024-11-15,$80.00,$2.98,$81.722,$73.278,$8.443
RYN,$32.09,0.109,0.042,0.068,$175.00,289,2024-11-15,$32.50,$0.70,2024-11-15,$32.50,$1.05,$34.272,$30.728,$3.543
AME,$169.71,0.109,0.053,0.084,$925.00,782,2024-11-15,$170.00,$4.80,2024-11-15,$170.00,$4.45,$179.272,$160.728,$18.543
SJM,$121.25,0.109,0.044,0.131,$652.50,"2,107",2024-11-15,$120.00,$3.65,2024-11-15,$120.00,$2.88,$126.547,$113.453,$13.093
AJG,$289.52,0.109,0.053,0.158,$1585.00,"1,387",2024-11-15,$290.00,$8.80,2024-11-15,$290.00,$7.05,$305.872,$274.128,$31.743
MSI,$477.62,0.109,0.050,0.230,$2625.00,"6,321",2024-11-15,$480.00,$12.70,2024-11-15,$480.00,$13.55,$506.272,$453.728,$52.543
SNX,$123.51,0.110,0.043,0.138,$682.50,580,2024-11-15,$125.00,$2.92,2024-11-15,$125.00,$3.90,$131.847,$118.153,$13.693
KEYS,$158.17,0.110,0.044,0.145,$875.00,"3,212",2024-11-15,$160.00,$3.85,2024-11-15,$160.00,$4.90,$168.772,$151.228,$17.543
CMCSA,$42.25,0.110,0.032,0.140,$310.00,"6,272",2024-11-01,$42.50,$1.03,2024-11-22,$44.00,$2.07,$45.622,$40.878,$4.743
MSGS,$220.53,0.110,0.052,0.196,$1205.00,"1,309",2024-11-15,$220.00,$6.80,2024-11-15,$220.00,$5.25,$232.072,$207.928,$24.143
DDOG,$126.00,0.110,0.047,0.414,$795.00,"45,326",2024-11-01,$126.00,$3.60,2024-11-01,$128.00,$4.35,$133.972,$120.028,$13.943
PEG,$89.70,0.110,0.052,0.213,$492.50,760,2024-11-15,$90.00,$2.48,2024-11-15,$90.00,$2.45,$94.947,$85.053,$9.893
HIG,$122.33,0.110,0.034,0.114,$685.00,640,2024-11-15,$125.00,$2.35,2024-11-15,$125.00,$4.50,$131.872,$118.128,$13.743
